n_poses,position_mean,position_std,position_min,position_max,position_median,orientation_mean,orientation_std,orientation_min,orientation_max,orientation_median,combined_mean,combined_std,combined_min,combined_max,combined_median,skill_name,n_demos
297,0.09107830038683098,0.04901963340990536,0.0025623220029193984,0.21104830289611592,0.08801362890676438,0.33771941858908344,0.1920027303124182,0.001108468103104822,1.105376082518751,0.3088016905858527,0.12485024224573933,0.0609370082904726,0.004966866223603799,0.27157644951107707,0.12654833749005948,close_the_top_drawer_of_the_cabinet,99
297,0.11336053265889239,0.07630493638466156,0.00024959691405980917,0.2754855360275539,0.1218472695458248,0.4420616730816565,0.22142854491327973,0.00020120368452898282,1.0168628635422854,0.4591977570233705,0.15756669996705805,0.09361539447051248,0.0005873203263868261,0.35323509141119147,0.16693008838364956,put_the_black_bowl_in_the_top_drawer_of_the_cabinet,99
111,0.058204699445244035,0.04526988693638761,0.0014252539860498436,0.1890774221195718,0.04490807403070929,0.2850681208175512,0.12983037860692337,0.0009771790179499815,0.7577975802552184,0.2820641177618633,0.08671151152699914,0.049206475102229315,0.002169094997518692,0.24282126800591364,0.0746600819086489,open_the_bottom_drawer_of_the_cabinet,37
288,0.03317269376450056,0.019276061407597363,0.0008266499825425428,0.1630567717168775,0.029623421070274873,0.18653697567501615,0.1032675046320643,0.0003572809037268883,0.6312850755349145,0.16798315133714997,0.05182639133200217,0.022607870656209936,0.002954282005267755,0.19732255355332443,0.04854830369216615,open_the_top_drawer_of_the_cabinet,96
270,0.09420315400782563,0.053787725600244495,0.00040173766853051084,0.2049390169657931,0.09311276960777896,0.5064337177645718,0.2743143812879272,0.0010944420434373945,1.6544299429104932,0.512179264052743,0.14484652578428284,0.07638299644491921,0.0010313782442150105,0.32441025806479296,0.14646628985965843,put_the_black_bowl_on_the_plate,90
444,0.09022526491894135,0.04744280953981796,0.00022845020836405113,0.222546106350785,0.08945755279846887,1.1135122201506946,0.8229137335858165,0.0010853330332176209,2.97354399937487,0.6596433903961074,0.20157648693401084,0.10135866541011912,0.0008008575207062747,0.4375982068893647,0.21046526563249646,put_the_black_bowl_on_top_of_the_cabinet,148
138,0.044735048500336314,0.02025722666649723,0.00041985835107632443,0.12382520790948143,0.04295060516723085,0.2583377830104244,0.11227715339370721,0.0008160981082517775,0.682079201938437,0.2503472374352634,0.07056882680137876,0.02425997559915745,0.0008247096455820391,0.16748648073551983,0.06864290366466072,put_the_black_bowl_at_the_back_on_the_plate,46
129,0.04612671626625743,0.02262835471649241,0.0015816502000357462,0.1470512709308333,0.042736070711110685,0.29644148805405424,0.1371878533829485,0.0003033389011823701,0.7794247687185653,0.28808255492853563,0.07577086507166285,0.026620147553939513,0.0018828955012117204,0.18102908776925822,0.07364991262471923,put_the_black_bowl_at_the_front_on_the_plate,43
147,0.04218219028583321,0.01889883676141343,0.0012289249400306188,0.12451955450229348,0.04047767586932987,0.1695071062368841,0.08032324099531292,0.002630515744497523,0.5039112410649034,0.16557015241617865,0.05913290090952163,0.020823755985217744,0.004412232548517834,0.13954447291263197,0.057369884353776705,put_the_middle_black_bowl_on_the_plate,49
144,0.04858715603330343,0.022107261228468907,0.001927911082960069,0.1371450667699499,0.04667714339274874,0.2680586907378639,0.13117332490266229,0.0003752741676955738,0.8010314606014043,0.25748782235141243,0.07539302510708981,0.02620142641824442,0.003975931581999811,0.1731452573844195,0.07421742613216097,put_the_middle_black_bowl_on_top_of_the_cabinet,48
144,0.048348921286117265,0.022237424331902025,0.0006128117298211949,0.1564237970855358,0.04584629745316631,0.3169959470389014,0.1526849044771161,0.0005362653972170366,0.9515602056194036,0.30249891347331437,0.0800485159900074,0.027844493873154966,0.0013973785615419144,0.19728400137031868,0.07789959140679587,stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,48
129,0.04433389668607478,0.020493157814877528,0.002081930597794704,0.13534998543979632,0.042016732935518844,0.2370300482658252,0.10673395508681495,0.0009340080753755226,0.6061697920191145,0.23200962566391625,0.06803690151265729,0.022177130236187153,0.005890199873796039,0.15022378021373672,0.06690039717215268,stack_the_middle_black_bowl_on_the_back_black_bowl,43
135,0.04073602297981733,0.020395081194462594,0.00012247552605305911,0.1304353129457539,0.037792173855180834,0.3594008504109992,0.1687381619141117,0.001143973652592141,1.0424526954591788,0.34260817717059067,0.07667610802091725,0.02863280454226822,0.0005621079006619522,0.1668100435525877,0.07468311478892015,put_the_frying_pan_on_the_stove,45
141,0.04122194229499919,0.01919062782327099,0.0005972694477285739,0.10577683255620865,0.03931159752196095,0.39538739364647796,0.2319469432285684,0.0010553815332906779,1.376701266314644,0.3470161526948742,0.08076068165964698,0.030299033180320255,0.0017083466698618601,0.1876625216634875,0.0782412059988678,put_the_moka_pot_on_the_stove,47
297,0.06874113579889568,0.039891844074267886,2.3819690290487064e-05,0.1530216586929129,0.07813547219915976,0.2464884935255446,0.13049263120671342,0.00021538408985134912,0.9666420173394172,0.22944832805193827,0.09338998515145017,0.043033315046976876,0.00018704875554441145,0.1942077293784932,0.10075222387631656,turn_on_the_stove,99
